name_short,image
ar00,00.png
ar01,01.png
ar02,02.png
ar03,03.png
ar04,04.png
ar05,05.png
ar06,06.png
ar07,07.png
ar08,08.png
ar09,09.png
ar10,10.png
ar11,11.png
ar12,12.png
ar13,13.png
ar14,14.png
ar15,15.png
ar16,16.png
ar17,17.png
ar18,18.png
ar19,19.png
ar20,20.png
ar21,21.png
cuac,22.png
cu02,23.png
cu03,24.png
cu04,25.png
cu05,26.png
cu06,27.png
cu07,28.png
cu08,29.png
cu09,30.png
cu10,31.png
cupa,32.png
cukn,33.png
cuqu,34.png
cuki,35.png
peac,36.png
pe02,37.png
pe03,38.png
pe04,39.png
pe05,40.png
pe06,41.png
pe07,42.png
pe08,43.png
pe09,44.png
pe10,45.png
pepa,46.png
pekn,47.png
pequ,48.png
peki,49.png
swac,50.png
sw02,51.png
sw03,52.png
sw04,53.png
sw05,54.png
sw06,55.png
sw07,56.png
sw08,57.png
sw09,58.png
sw10,59.png
swpa,60.png
swkn,61.png
swqu,62.png
swki,63.png
waac,64.png
wa02,65.png
wa03,66.png
wa04,67.png
wa05,68.png
wa06,69.png
wa07,70.png
wa08,71.png
wa09,72.png
wa10,73.png
wapa,74.png
wakn,75.png
waqu,76.png
waki,77.png
